,id,trial,action,reward,probs_blue,probs_orange
0,1,1,0,0,0.25,0.25
1,1,2,1,0,0.25,0.25
2,1,3,1,0,0.25,0.25
3,1,4,1,1,0.25,0.25
4,1,5,1,0,0.25,0.25
5,1,6,1,1,0.25,0.25
6,1,7,1,0,0.25,0.25
7,1,8,1,0,0.25,0.25
8,1,9,1,0,0.25,0.25
9,1,10,1,1,0.25,0.25
10,1,11,1,0,0.25,0.25
11,1,12,1,0,0.25,0.25
12,1,13,1,0,0.25,0.25
13,1,14,1,1,0.25,0.25
14,1,15,1,0,0.25,0.25
15,1,16,0,0,0.25,0.25
16,1,17,1,0,0.25,0.25
17,1,18,1,1,0.25,0.25
18,1,19,1,0,0.25,0.25
19,1,20,0,1,0.25,0.25
20,1,21,1,0,0.25,0.25
21,1,22,1,0,0.25,0.25
22,1,23,1,0,0.25,0.25
23,1,24,0,1,0.25,0.25
24,1,25,1,0,0.25,0.25
25,1,26,1,1,0.25,0.25
26,1,27,1,0,0.25,0.25
27,1,28,0,0,0.25,0.25
28,1,29,1,0,0.25,0.25
29,1,30,0,1,0.25,0.25
30,1,31,1,0,0.25,0.25
31,1,32,1,0,0.25,0.25
32,1,33,1,1,0.25,0.25
33,1,34,0,0,0.25,0.25
34,1,35,1,0,0.25,0.25
35,1,36,0,0,0.25,0.25
36,1,37,1,1,0.25,0.25
37,1,38,1,1,0.25,0.25
38,1,39,1,0,0.25,0.25
39,1,40,0,0,0.25,0.25
40,1,41,1,0,0.25,0.25
41,1,42,1,0,0.25,0.25
42,1,43,0,0,0.25,0.25
43,1,44,1,0,0.25,0.25
44,1,45,1,0,0.25,0.25
45,1,46,1,0,0.25,0.25
46,1,47,0,1,0.25,0.25
47,1,48,0,0,0.25,0.25
48,1,49,1,0,0.25,0.25
49,1,50,1,0,0.25,0.25
50,1,51,1,0,0.25,0.25
51,1,52,1,0,0.25,0.25
52,1,53,1,0,0.25,0.25
53,1,54,1,0,0.25,0.25
54,1,55,1,0,0.25,0.25
55,1,56,1,0,0.25,0.25
56,1,57,0,1,0.25,0.25
57,1,58,1,0,0.25,0.25
58,1,59,1,0,0.25,0.25
59,1,60,1,0,0.25,0.25
60,1,61,1,0,0.25,0.25
61,1,62,1,0,0.25,0.25
62,1,63,1,0,0.25,0.25
63,1,64,1,1,0.25,0.25
64,1,65,1,0,0.25,0.25
65,1,66,1,1,0.25,0.25
66,1,67,0,0,0.25,0.25
67,1,68,1,0,0.25,0.25
68,1,69,1,0,0.25,0.25
69,1,70,1,0,0.25,0.25
70,1,71,1,0,0.25,0.25
71,1,72,1,0,0.25,0.25
72,1,73,1,1,0.25,0.25
73,1,74,0,1,0.25,0.25
74,1,75,1,0,0.25,0.25
75,1,76,0,0,0.25,0.25
76,1,77,1,0,0.25,0.25
77,1,78,1,1,0.25,0.25
78,1,79,1,0,0.25,0.25
79,1,80,1,0,0.25,0.25
80,1,81,1,0,0.25,0.25
81,1,82,1,0,0.25,0.25
82,1,83,0,0,0.25,0.25
83,1,84,0,0,0.25,0.25
84,1,85,1,1,0.25,0.25
85,1,86,1,0,0.25,0.25
86,1,87,1,1,0.25,0.25
87,1,88,0,0,0.25,0.25
88,1,89,1,0,0.25,0.25
89,1,90,1,0,0.25,0.25
90,1,91,1,0,0.25,0.25
91,1,92,1,0,0.25,0.25
92,1,93,1,0,0.25,0.25
93,1,94,1,1,0.25,0.25
94,1,95,0,0,0.25,0.25
95,1,96,1,0,0.25,0.25
96,1,97,0,0,0.25,0.25
97,1,98,1,1,0.25,0.25
98,1,99,1,0,0.25,0.25
99,1,100,1,0,0.25,0.25
0,10,1,1,0,0.25,0.25
1,10,2,1,0,0.25,0.25
2,10,3,1,0,0.25,0.25
3,10,4,1,1,0.25,0.25
4,10,5,1,0,0.25,0.25
5,10,6,1,0,0.25,0.25
6,10,7,1,0,0.25,0.25
7,10,8,1,1,0.25,0.25
8,10,9,1,1,0.25,0.25
9,10,10,1,0,0.25,0.25
10,10,11,1,1,0.25,0.25
11,10,12,1,0,0.25,0.25
12,10,13,1,1,0.25,0.25
13,10,14,0,0,0.25,0.25
14,10,15,1,0,0.25,0.25
15,10,16,1,0,0.25,0.25
16,10,17,1,0,0.25,0.25
17,10,18,0,1,0.25,0.25
18,10,19,0,0,0.25,0.25
19,10,20,1,0,0.25,0.25
20,10,21,0,0,0.25,0.25
21,10,22,1,0,0.25,0.25
22,10,23,0,1,0.25,0.25
23,10,24,1,0,0.25,0.25
24,10,25,1,0,0.25,0.25
25,10,26,1,0,0.25,0.25
26,10,27,1,0,0.25,0.25
27,10,28,0,0,0.25,0.25
28,10,29,1,0,0.25,0.25
29,10,30,1,1,0.25,0.25
30,10,31,1,0,0.25,0.25
31,10,32,1,0,0.25,0.25
32,10,33,0,0,0.25,0.25
33,10,34,1,0,0.25,0.25
34,10,35,1,0,0.25,0.25
35,10,36,1,0,0.25,0.25
36,10,37,1,1,0.25,0.25
37,10,38,1,0,0.25,0.25
38,10,39,1,0,0.25,0.25
39,10,40,0,1,0.25,0.25
40,10,41,1,0,0.25,0.25
