"subjID","reward","subject","X","Y","loss_shift","reward_shift"
"1-gpt-3.5",20,"GPT-3.5",20,80,0.316455696202532,0.3
"1-gpt-4",26,"GPT-4",94,6,0.0821917808219178,0
"10-gpt-3.5",26,"GPT-3.5",19,81,0.310810810810811,0.28
"10-gpt-4",23,"GPT-4",10,90,0.118421052631579,0
"100-gpt-3.5",32,"GPT-3.5",32,68,0.441176470588235,0.483870967741935
"101-gpt-3.5",30,"GPT-3.5",8,92,0.171428571428571,0.0689655172413793
"102-gpt-3.5",29,"GPT-3.5",37,63,0.542857142857143,0.275862068965517
"103-gpt-3.5",23,"GPT-3.5",28,72,0.447368421052632,0.478260869565217
"104-gpt-3.5",17,"GPT-3.5",35,65,0.439024390243902,0.294117647058824
"105-gpt-3.5",26,"GPT-3.5",43,57,0.589041095890411,0.461538461538462
"106-gpt-3.5",35,"GPT-3.5",38,62,0.523076923076923,0.61764705882353
"107-gpt-3.5",18,"GPT-3.5",12,88,0.197530864197531,0.166666666666667
"108-gpt-3.5",25,"GPT-3.5",16,84,0.27027027027027,0.24
"109-gpt-3.5",22,"GPT-3.5",51,49,0.538461538461538,0.476190476190476
"11-gpt-3.5",22,"GPT-3.5",23,77,0.282051282051282,0.333333333333333
"11-gpt-4",29,"GPT-4",4,96,0.1,0
"110-gpt-3.5",18,"GPT-3.5",12,88,0.246913580246914,0.166666666666667
"111-gpt-3.5",28,"GPT-3.5",42,58,0.555555555555556,0.555555555555556
"112-gpt-3.5",29,"GPT-3.5",35,65,0.5,0.551724137931034
"113-gpt-3.5",28,"GPT-3.5",13,87,0.267605633802817,0.0714285714285714
"114-gpt-3.5",20,"GPT-3.5",53,47,0.455696202531646,0.35
"115-gpt-3.5",28,"GPT-3.5",35,65,0.52112676056338,0.5
"116-gpt-3.5",31,"GPT-3.5",14,86,0.202898550724638,0.3
"117-gpt-3.5",27,"GPT-3.5",90,10,0.180555555555556,0.111111111111111
"118-gpt-3.5",29,"GPT-3.5",72,28,0.514285714285714,0.206896551724138
"119-gpt-3.5",15,"GPT-3.5",29,71,0.452380952380952,0.533333333333333
"12-gpt-3.5",22,"GPT-3.5",48,52,0.636363636363636,0.409090909090909
"12-gpt-4",27,"GPT-4",95,5,0.111111111111111,0
"120-gpt-3.5",24,"GPT-3.5",16,84,0.276315789473684,0.260869565217391
"121-gpt-3.5",18,"GPT-3.5",12,88,0.17283950617284,0.166666666666667
"122-gpt-3.5",24,"GPT-3.5",14,86,0.293333333333333,0.208333333333333
"123-gpt-3.5",20,"GPT-3.5",59,41,0.4875,0.421052631578947
"124-gpt-3.5",18,"GPT-3.5",60,40,0.604938271604938,0.277777777777778
"125-gpt-3.5",28,"GPT-3.5",11,89,0.25,0.037037037037037
"126-gpt-3.5",22,"GPT-3.5",18,82,0.272727272727273,0.272727272727273
"127-gpt-3.5",28,"GPT-3.5",7,93,0.169014084507042,0.0357142857142857
"128-gpt-3.5",20,"GPT-3.5",36,64,0.481012658227848,0.5
"129-gpt-3.5",29,"GPT-3.5",41,59,0.557142857142857,0.482758620689655
"13-gpt-3.5",22,"GPT-3.5",15,85,0.220779220779221,0.272727272727273
"13-gpt-4",25,"GPT-4",4,96,0.0675675675675676,0
"130-gpt-3.5",19,"GPT-3.5",36,64,0.5375,0.31578947368421
"131-gpt-3.5",21,"GPT-3.5",22,78,0.269230769230769,0.0952380952380952
"132-gpt-3.5",21,"GPT-3.5",46,54,0.448717948717949,0.0952380952380952
"133-gpt-3.5",25,"GPT-3.5",31,69,0.426666666666667,0.333333333333333
"134-gpt-3.5",25,"GPT-3.5",20,80,0.337837837837838,0.4
"135-gpt-3.5",22,"GPT-3.5",6,94,0.142857142857143,0
"136-gpt-3.5",25,"GPT-3.5",14,86,0.24,0.291666666666667
"137-gpt-3.5",29,"GPT-3.5",14,86,0.314285714285714,0.103448275862069
"138-gpt-3.5",19,"GPT-3.5",23,77,0.375,0.263157894736842
"139-gpt-3.5",25,"GPT-3.5",4,96,0.0675675675675676,0
"14-gpt-3.5",29,"GPT-3.5",24,76,0.28169014084507,0.392857142857143
"14-gpt-4",22,"GPT-4",3,97,0.051948051948052,0.0454545454545455
"140-gpt-3.5",27,"GPT-3.5",16,84,0.222222222222222,0.333333333333333
"141-gpt-3.5",25,"GPT-3.5",19,81,0.364864864864865,0.16
"142-gpt-3.5",15,"GPT-3.5",26,74,0.428571428571429,0.333333333333333
"143-gpt-3.5",26,"GPT-3.5",28,72,0.378378378378378,0.44
"144-gpt-3.5",24,"GPT-3.5",48,52,0.586666666666667,0.416666666666667
"145-gpt-3.5",23,"GPT-3.5",11,89,0.197368421052632,0.173913043478261
"146-gpt-3.5",25,"GPT-3.5",19,81,0.36,0.25
"147-gpt-3.5",24,"GPT-3.5",38,62,0.586666666666667,0.375
"148-gpt-3.5",25,"GPT-3.5",33,67,0.378378378378378,0.4
"149-gpt-3.5",30,"GPT-3.5",60,40,0.36231884057971,0.366666666666667
"15-gpt-3.5",30,"GPT-3.5",17,83,0.271428571428571,0.206896551724138
"15-gpt-4",26,"GPT-4",4,96,0.0684931506849315,0
"150-gpt-3.5",29,"GPT-3.5",13,87,0.197183098591549,0.214285714285714
"151-gpt-3.5",25,"GPT-3.5",12,88,0.202702702702703,0.08
"152-gpt-3.5",24,"GPT-3.5",16,84,0.289473684210526,0.173913043478261
"153-gpt-3.5",20,"GPT-3.5",44,56,0.625,0.526315789473684
"1532868293_46.csv",26,"Human",43,57,0.47945205479452,0.230769230769231
"1532868308_33.csv",23,"Human",46,53,0.618421052631579,0.478260869565217
"1532868309_5.csv",25,"Human",57,43,0.432432432432432,0.16
"1532868310_4.csv",22,"Human",64,36,0.623376623376623,0.227272727272727
"1532868320_17.csv",22,"Human",53,47,0.636363636363636,0.409090909090909
"1532868320_52.csv",26,"Human",54,45,0.383561643835616,0.269230769230769
"1532868322_63.csv",26,"Human",79,21,0.383561643835616,0.192307692307692
"1532868323_90.csv",24,"Human",82,18,0.12,0.0416666666666667
"1532868328_56.csv",21,"Human",85,15,0.316455696202532,0.05
